L2_theme_id;L2_sum;L2_tri;topics;scenes
1;讨论盲人如何剪辑和上传视频;画面;[0, 3, 8, 24, 69, 105];[1, 2, 3, 8, 24, 39]
2;为盲人UP主加油打气;其他;[2, 4, 10, 16, 22, 31, 35, 67, 102, 111];[1, 2, 4, 5, 7, 12, 22, 38, 42]
3;讨论导盲犬的稀缺性;画面;[5, 15, 26, 101];[2, 5, 8, 38]
4;讨论盲道和盲人行走的难度;画面;[6, 18, 40];[3, 6, 13]
5;讨论无障碍设施的建设和使用;画面;[12, 34, 37, 41];[4, 12, 13, 14]
6;讨论盲人的感知能力和生活习惯;画面;[9, 17, 27];[3, 5, 9]
7;探讨盲人的视觉体验和感受;画面;[11, 21, 25];[4, 7, 8]
8;讨论视障者的感知能力和方式;画面;[28, 52];[10, 18]
9;讨论盲人在商场和户外场景的挑战;画面;[48, 81, 82, 83, 85];[16, 32]
10;讨论食堂和餐厅中的盲人挑战;画面;[86, 87, 88];[33, 34]
11;讨论天桥和校园环境中的盲人挑战;画面;[96, 110];[36, 42]
12;讨论盲人UP主的积极态度和勇气;其他;[13, 42, 50, 76];[4, 14, 17, 27]
13;讨论盲人视频中的感动和情感表达;其他;[56, 83, 92, 106, 108];[19, 32, 34, 39, 40]
14;支持和鼓励盲人UP主;其他;[58, 60, 78, 119];[20, 29, 45]
