scene_id;start;end;avscript;transcripts
1;0.0;10.999990684281844;在食堂里，一名男子对餐车售菜人员说：“小油菜来两个”。;西蓝花菜花,这我不吃啊,包菜香菜,生菜小油菜,然后海鲜菇,鲜蘑金针菇,小油菜来两个吧,小油菜来两个对,
2;10.999990684281844;42.099964346205965;在特教学院外，一名男子准备出门吃饭，并说“今天我们去吃个不一样的，也是我非常喜欢吃的”。;小油菜来两个对,OK好的,好,我出来了,慢点啊,今天我们去吃个不一样的,哎也是我非常喜欢吃的,先挂了,好的,
3;42.099964346205965;45.59996138211383;"在户外，一人行走在路旁，说""吃什么呢，大家一会到了就知道了""。";好的,吃什么呢,大家一会到了就知道了,
4;45.59996138211383;49.73329121499548;请直接上传画面帧，我将为您撰写总结。;大家一会到了就知道了,这个栅栏加了之后啊,非常好就是,
5;49.73329121499548;58.39995054200542;室外，一位视障者在走廊边行走，说“非常好就是,可以帮助我们确定方向和走直线吗”。;非常好就是,可以帮助我们确定方向和走直线吗,
6;58.39995054200542;64.6332785964318;一名男子在户外人行道上边走边说“约等于跟盲道差不多，啊今天还挺热的嘞”。;约等于跟盲道差不多,啊今天还挺热的嘞,
7;64.6332785964318;71.8666058039747;在户外，一人行走在空旷的停车场，说“啊今天还挺热的嘞,前两天温度很低今天,气温上升了”。;啊今天还挺热的嘞,前两天温度很低今天,气温上升了,
8;71.8666058039747;81.53326428410118;在户外，一名视障用户正沿道路步行，并说“我时不时的得打他一下要不然，可能我就走偏了”。;我时不时的得打他一下要不然,可能我就走偏了,
9;81.53326428410118;96.3999183604336;在户外，视障用户拍摄视频，正在通过盲杖感知前方台阶并说“啊这是已经到了是吗”。;啊这是已经到了是吗,
10;96.3999183604336;104.99991107723578;"在户外，一人走近楼梯，说""到地之后他就有个缺口""";所以我说他这个加的非常好,到地之后他就有个缺口,
11;104.99991107723578;122.03322998532067;在户外步道上，一名男子用盲杖爬台阶，说：“我才知道，我这个衣服是浅蓝色的，我以前一直以为它是那种颜色比较深的。”;我今天刚才跟同学聊天的时候,我才知道我这衣服是浅蓝色的,我以前一直以为,他是那种颜色比较深的那种的,
12;122.03322998532067;144.89987728658537;在户外过街天桥上，视障用户拍摄，讨论自己的衣服颜色，朋友说是浅蓝，称天气很好。;因为以前我被告知这个衣服是雾霾蓝,那我觉得那雾霾也是就深点啊,跟阴霾似的嘛,但是刚才那个刚才我同学告诉我说抢,今天天气真好,
13;144.89987728658537;149.9998729674797;"在天桥上，一人在行走，背景有建筑；音频提到""今天天气真好,啊,""";今天天气真好,啊,
14;149.9998729674797;158.6998655995935;"在户外过街天桥上，行人走路。背景声音：""浮游天地间,走吧,""";浮游天地间,走吧,
15;158.6998655995935;223.83314377258355;在户外天桥上，男子独自行走并讲述通过拍摄视频提升自己的出行能力。;哎我们要就是要转向到这边,从这个斜坡上就不会有那个,楼梯,不知道楼梯啥时候来的那种,未知感,OK慢点慢点,有的时候就不自觉的就走快,其实在,拍视频的时候我自己在成长,我的出行能力其实挺差的,但经过这几次拍视频之后,就觉得自己出行强烈点,好像要到了,对,别问我怎么知道的,因为我的六感,可能是因为我的六感,
16;223.83314377258355;244.96645920844625;在室内，视障男子正用导盲杖前行，有人帮忙打开门，他说“好好，谢谢啊”，背景有行人和商店。;来看一下,好谢谢,没事,用六感来说的话就比较笼统,
17;244.96645920844625;282.89976041666665;在室内，一个视障用户使用导盲杖探索路径，说“快到头时会被房屋挡住，左边有墙体，感受到一个封闭空间。”;准确的说是,因为刚才那个地方,他快到头的时候就会被房屋,呃左边就会有墙体,然后刮风的时候,从那个墙体的左边风就不会过来,就会感受到一个封闭的空间吧,但是就知道快到头了,但之前其实我并没注意,
18;282.89976041666665;286.99975694444447;在餐厅内，一名视障人士正在缓慢行走并提醒自己“慢一点”。;无
19;286.99975694444447;304.7330752597109;在室内，一人用盲杖走在楼梯上，小朋友在旁边说话，视频中说道“好，这个小朋友再这说话”。;好,这个小朋友在那说话,让一下让一下啊,别碰了你们,他在这说话反而给了我定位,
20;304.7330752597109;381.3330103884372;在食堂，两个人上午正在点餐。点餐者说：“包菜、生菜、香菜、小油菜”，服务员在帮忙拿菜。;无忧无虑的童年时光啊,好,哈喽,吃个香锅呗,对对,谢谢你啊,跟我来啊这边,嗯西兰花菜花,这个我不吃,啊包菜,香菜生菜,小油菜然后海鲜菇,鲜蘑金针菇,小油菜来两个吧,小油菜来两个,对鲜蘑香菇,香菇来两个吧,来两黄花菜,海带丝,海带丝来一点,一点就行,不用太多,然后干豆皮,干豆皮毛肚,呃干豆皮可以来一点,有一个鲜的,有一个是干的,泡的泡发的要哪个,呃泡过的嘛,哦好嘞,然后素毛肚,豆芽菜海带条海带结,那也不吃啊,面藕,腐竹,鲜海带腐竹来,腐竹来两个吧,来两个土豆片,土豆片来4个,好嘞,
21;381.3330103884372;413.5663164238934;在食堂厨房，一人点餐说：“然后就是腊腊肠，千页豆腐撒，酱牛丸...。”;然后就是腊腊肠,千页豆腐撒,酱牛丸,呃紫薯丸,甜不辣鲍鱼片,金金肠,啊,鱼豆腐有吗有,鱼豆腐有在后面,好,这还有鸡柳,脆骨丸,面筋小酥肉,还有就是,呃年糕肠,那个我就不爱吃,这都不是啊,对,好请这边吧,这边要,鱼豆腐要几个,两个吧啊,
22;413.5663164238934;454.0662821251129;在一家自助餐厅内，厨师为顾客拿取蔬菜，说：“肉类的就不要了，就要蔬菜吧。”;肉这个就不要了,就要蔬菜啊,蔬菜这边有菠菜,菠菜来三个,菠菜苦菊,嗯小油菜是油麦菜,油麦菜,来俩来俩,然后还有就是大娃娃菜,那个不要,大白菜来一个吧,大白菜来一个,哈对,然后这边冬瓜豆泡,素冬瓜来一个吧,冬瓜来一个,素什么,这是那个莫斯杰啊鹌鹑蛋,鹌鹑蛋来六个吧,来六个是吧对,差不多就是您感觉有15块15十五六了吗,差不多来我给你称一下,称你等会啊好,
23;454.0662821251129;471.3996007791328;在食堂，一名男子正在结账，说“啊这个是16块8，够吗？够，可以啊，加个米饭再吃是吧，对，17块7毛7，正好”。;啊这个是16块816块8,是吗够吗,够,可以啊,加个米饭再吃是吧,对,17块7毛7,好那正好,
24;471.3996007791328;479.0662609530262;在食堂，一名视障者正在用手机拍摄，并询问口味问题，说“好了好了，谢谢你啊，什么口味的没事啊”。;好了好了,好了好了,谢谢你啊,什么口味的没事啊,
25;479.0662609530262;517.2662286020777;"在食堂中，一人点餐后寻求座位，与服务员交流然后坐下享用汤，说""我挺喜欢吃这家的""。";什么口味的没事啊,少麻少辣,微麻微辣吧,对对对对,30号 你记得号,我待会给你送,好我给你来碗汤,肚子好带你过去吧,好谢谢你,哈哈没事,来这边就行,这边有空调,来坐着这就这边能坐好,OK OK好,来来碗汤,好谢谢啊,早知道我不拿水杯了哈哈,好的,我挺喜欢吃这家的,挺好吃,
26;517.2662286020777;518.7995606368564;对不起，我需要查看视频中的帧画面才能给出总结。请提供视频帧的具体描述或截图。;five minutes later,
27;518.7995606368564;558.7661934564137;"在食堂，一名学生接过服务员递来的餐盘，感谢并说""ok 好 谢谢啊""，然后开始用筷子吃饭。";five minutes later,啊来了谢谢筷子,谢谢啊,虾米,挺香的,
28;558.7661934564137;560.6328585422312;"在色彩丰富的背景下，显示文字""几秒钟后""。";a few moments later,
29;560.6328585422312;574.0995138042006;在走廊里，拍摄者行走并说道：“这回走得好，这回走的还挺直的。”;a few moments later,好的OK哎这回走的还,这回走的还挺直的无
30;574.0995138042006;579.0661762646794;在大学食堂，一名手持盲杖的视障者白天在走廊内行走。;无
31;579.0661762646794;585.2328377088979;"在大厅内，一人用盲杖探路，口中说：""好了""。";好了,
32;585.2328377088979;624.4994711212737;在室外的人行天桥上，一人手持盲杖走路，说“啊 磕到头了... 我取了个快递，买了个面包，大家放心这次绝对没磕到。”;啊磕到手了,OK,现在没问题了,刚才我吃完饭我就取个快递,买了个面包,大家放心这次绝对没磕到,因为我,我前几天我就自己来走了一次,又摸了一遍,又瞄了一遍然后那次很顺利,这次这次也很顺利,
